Rinf,s50,c,sigma
373.34,269.1,1.4082,0.30504
367.62,229.59,1.4944,0.27862
391.76,226.15,1.5205,0.33281
304.94,185.15,1.4668,0.4144
383.95,224.02,1.5606,0.35976
358.47,232.53,1.4069,0.34158
319.5,196.53,1.508,0.43586
331.55,223.22,1.4222,0.33412
380.63,244.46,1.5422,0.35209
348.7,225.04,1.4325,0.31973
380.38,277.7,1.3051,0.33897
354.5,212.57,1.6307,0.33968
399.45,257.74,1.4673,0.32083
393.06,265.92,1.4129,0.33622
290.5,177.37,1.6088,0.35005
395.1,300.82,1.3529,0.35721
341.59,175.35,1.6966,0.3253
341.58,246.26,1.3771,0.32901
399.57,312.06,1.2989,0.33065
337.6,222.18,1.5003,0.31985
349.9,229.1,1.5274,0.27711
262.75,159.34,1.6576,0.38989
361.51,212.01,1.6245,0.35543
367.98,246.09,1.3904,0.39125
386.65,227.8,1.5433,0.34197
392.01,257.5,1.4377,0.34211
327.37,201.45,1.5113,0.32642
302.01,202.12,1.3472,0.37559
376.35,248,1.3669,0.35202
395.59,223.05,1.5821,0.39665
369.37,231.5,1.4777,0.33475
345.5,281.64,1.2438,0.40031
364.89,194.7,1.6304,0.38052
362.42,226.53,1.5059,0.3486
309.7,223.52,1.3813,0.35103
353.25,207.49,1.5952,0.33355
228.46,138.31,1.7003,0.35992
373.11,301.6,1.2857,0.34517
397.97,263.79,1.3768,0.33985
313.61,184.08,1.5822,0.38823
275.67,182.71,1.4552,0.34826
274.65,170.42,1.5776,0.32817
398.75,238.93,1.5369,0.37716
349.75,252.32,1.3511,0.38107
391.65,303.08,1.285,0.3275
343.13,211.77,1.613,0.30646
362.54,205.01,1.5659,0.41628
333.91,224.12,1.4424,0.35819
351.62,195.74,1.5655,0.37767
374.78,213.22,1.5113,0.35468
390.54,245.32,1.4935,0.3069
298.11,179.71,1.6021,0.36998
247.56,167.64,1.5593,0.35174
257.12,159.27,1.5212,0.37137
322.94,227.96,1.459,0.34997
332.63,209.57,1.4856,0.3436
397.59,228.43,1.5176,0.35649
345.5,217.62,1.5285,0.30445
387.89,210.71,1.6329,0.36679
368.35,253.67,1.4064,0.31683
380.44,254.66,1.4282,0.31576
396.29,258.48,1.44,0.30548
359.21,230.6,1.5172,0.31087
380.33,222.77,1.5397,0.34296
277.3,172.68,1.6111,0.32524
375.16,245.12,1.4508,0.32374
306.42,230.43,1.3929,0.35567
385.19,263.58,1.3757,0.36573
270.28,180.26,1.4508,0.37541
361.41,209.8,1.5501,0.35667
330.72,202.9,1.5382,0.33352
397.85,242.43,1.4306,0.31815
349.4,238.73,1.4491,0.37861
256,173.01,1.473,0.32312
333.25,231.78,1.4004,0.35201
398.29,249.81,1.5013,0.35585
369.1,204.86,1.583,0.35662
346.23,186.27,1.6132,0.39948
290.93,221.94,1.2822,0.34856
366.17,247.21,1.4723,0.30587
357.98,221.64,1.5169,0.35962
384.48,268.9,1.3687,0.32606
310.95,186.48,1.5715,0.31331
391.75,303.48,1.2717,0.38376
335.5,216.89,1.4529,0.36431
327.95,209.2,1.4928,0.40571
373.9,224.91,1.5689,0.39459
261.48,174.8,1.4693,0.34971
340.91,199.54,1.5882,0.39009
307.85,213.5,1.4143,0.30867
343.4,253.15,1.3539,0.34847
365.6,253.45,1.4451,0.31621
342.68,224.34,1.4044,0.33621
364.65,233.09,1.4373,0.37996
303.3,225.89,1.3915,0.33744
394.86,262.47,1.438,0.35498
394.85,284.08,1.3853,0.29001
328,227.48,1.439,0.37684
394.33,288.26,1.4167,0.38103
352.56,256.56,1.345,0.36996
278.83,160.14,1.739,0.37204
383.35,252.98,1.4303,0.39709
380.22,234.38,1.5398,0.34477
286.59,179.03,1.6684,0.33823
361.61,248.22,1.4296,0.32346
320.75,203.38,1.561,0.2939
397.62,250.61,1.461,0.33881
340.77,206.38,1.5357,0.3053
365.96,278.74,1.2933,0.36037
274.67,176.71,1.4964,0.34514
337.04,207.54,1.5861,0.36395
333.11,286.24,1.2779,0.32288
369.46,246.65,1.3914,0.35858
250.95,176.25,1.5257,0.27859
379.17,254.3,1.4549,0.34791
358.12,222.65,1.516,0.32464
351.87,242.23,1.4208,0.33957
388,238.63,1.5321,0.36024
369.49,263.13,1.354,0.30958
335.96,234.28,1.3601,0.29683
324.31,227.7,1.4469,0.32979
354.25,257.04,1.3631,0.35466
259.2,157.06,1.6198,0.31949
381.5,261.11,1.368,0.31555
384.07,253.09,1.4546,0.33665
345.23,220.79,1.4153,0.31953
383.53,260.42,1.415,0.2987
332.11,195.25,1.5024,0.36469
329.59,220.81,1.4209,0.32992
351.73,241.5,1.4914,0.33408
349.42,215.83,1.577,0.30144
333.43,211.43,1.5419,0.31534
384.43,228.01,1.5676,0.31363
349.23,269.59,1.3829,0.30755
394.88,265.55,1.3849,0.30297
303.93,192.85,1.5401,0.30304
349.36,225.8,1.4677,0.37706
392.5,327.59,1.2287,0.35609
348.84,244.58,1.414,0.32818
295.29,163.26,1.5764,0.32993
310.61,209.32,1.4378,0.32951
312.36,235.75,1.3416,0.33049
380.26,287.88,1.322,0.37704
388.04,245.38,1.431,0.33779
351.18,224.23,1.4209,0.40261
358.64,246.52,1.4145,0.30379
348.64,234.02,1.3871,0.37574
285.28,154.9,1.5804,0.4096
371.84,249.1,1.4317,0.30256
284.41,205.31,1.3674,0.29756
371.72,254.18,1.4873,0.31068
384.14,242.22,1.4777,0.3457
350.27,232.76,1.4667,0.31918
361.44,237.6,1.4517,0.30598
378.28,245.2,1.359,0.43925
330.34,242.39,1.4157,0.32143
382.24,224.16,1.5525,0.32553
373.91,242.48,1.4408,0.33001
349.28,238.58,1.4576,0.34936
304.22,198.75,1.4856,0.3457
379.54,299.62,1.306,0.36391
304.79,189.17,1.5376,0.34314
390.2,252.76,1.5053,0.35068
386.54,244.65,1.4538,0.34801
275.88,175.15,1.5803,0.36425
327.43,237.98,1.4172,0.34205
373.28,230.66,1.5149,0.3463
379.09,271.98,1.3823,0.29027
376.34,227.95,1.5183,0.38054
366.8,246.01,1.4016,0.32195
250.03,180.22,1.4454,0.28712
329.99,222.62,1.4401,0.271
368.76,261.13,1.3827,0.26108
396.45,229.98,1.5029,0.3565
295.12,182.75,1.6101,0.29865
295.46,164.46,1.6513,0.3754
361.11,243.87,1.4471,0.33611
381.11,234.78,1.5019,0.33917
361.79,219.03,1.5072,0.39072
398.14,265.32,1.46,0.3155
356.15,243.44,1.3901,0.34385
380.36,244.8,1.4499,0.37683
396,232.12,1.5361,0.31549
255.61,163.26,1.561,0.28329
342.92,204.22,1.6062,0.34264
369.36,239.46,1.4786,0.35508
325.3,217.55,1.4336,0.3615
322.19,199.36,1.5332,0.39883
353.74,206.17,1.6136,0.34334
317.36,182.31,1.637,0.36461
328.31,277.6,1.3005,0.368
306.49,207.73,1.4002,0.34085
390.38,298.52,1.2586,0.39346
358.33,216.88,1.5091,0.31822
358.97,229.72,1.4359,0.31536
259.2,157.06,1.6198,0.31949
272.52,158.83,1.5659,0.34019
378.36,258.81,1.4297,0.29475
356.2,214.21,1.4875,0.36017
